iteration,scenario,monitoring_cost_pct,monitoring_cost_euro,implementation_cost_pct,implementation_cost_euro,total_governance_cost_pct,total_governance_cost_euro,disbursement_lag_months,mobilization_ratio,gross_mobilization_ratio,net_mobilization_ratio,risk_premium_bps,mrv_reduction,lag_reduction,effective_lag_reduction,risk_premium_reduction_bps,effective_risk_premium_reduction_bps,bluewashing_risk_reduction,effective_bluewashing_reduction,legal_uncertainty_penalty,oracle_failure_risk,adoption_friction,gross_benefit,penalty_factor,net_benefit
13,Traditional Governance,0.037340588640710784,3734058.8640710786,0.0,0.0,0.037340588640710784,3734058.8640710786,3.4446084188139405,3.881421483990717,3.881421483990717,3.881421483990717,322.15932755484687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Traditional Governance,0.04106930719215321,4106930.719215321,0.0,0.0,0.04106930719215321,4106930.719215321,3.852997703236033,4.003036808093318,4.003036808093318,4.003036808093318,272.45204277805874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Traditional Governance,0.034125735006444766,3412573.5006444766,0.0,0.0,0.034125735006444766,3412573.5006444766,5.460206517711988,3.3661945897309855,3.3661945897309855,3.3661945897309855,304.23423793900224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Traditional Governance,0.030112241334301196,3011224.1334301196,0.0,0.0,0.030112241334301196,3011224.1334301196,3.6813534085374697,3.7356702210389354,3.7356702210389354,3.7356702210389354,305.566508510461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Traditional Governance,0.03584242796794329,3584242.7967943293,0.0,0.0,0.03584242796794329,3584242.7967943293,4.718562347378413,3.9703755938666565,3.9703755938666565,3.9703755938666565,285.07286086347943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Traditional Governance,0.02535889589811921,2535889.589811921,0.0,0.0,0.02535889589811921,2535889.589811921,5.033286712506806,3.9146182208832627,3.9146182208832627,3.9146182208832627,265.7514009678947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Traditional Governance,0.041192845374166634,4119284.5374166635,0.0,0.0,0.041192845374166634,4119284.5374166635,4.09292075754016,4.195647654463874,4.195647654463874,4.195647654463874,301.7920630219176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Traditional Governance,0.03712556718161648,3712556.7181616477,0.0,0.0,0.03712556718161648,3712556.7181616477,4.887728007241082,4.095164115866095,4.095164115866095,4.095164115866095,300.688594096287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Traditional Governance,0.0395663756555269,3956637.5655526896,0.0,0.0,0.0395663756555269,3956637.5655526896,3.8743730929276192,4.408543269786504,4.408543269786504,4.408543269786504,308.3834023105259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Traditional Governance,0.032630783255936296,3263078.32559363,0.0,0.0,0.032630783255936296,3263078.32559363,4.131978902962443,4.36884631298419,4.36884631298419,4.36884631298419,282.62887838457175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Traditional Governance,0.04636876205374896,4636876.205374896,0.0,0.0,0.04636876205374896,4636876.205374896,4.184567068164117,3.755663023946057,3.755663023946057,3.755663023946057,279.97026541060336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Traditional Governance,0.04306490840687659,4306490.840687659,0.0,0.0,0.04306490840687659,4306490.840687659,5.87334084138526,3.350258354720644,3.350258354720644,3.350258354720644,339.49188155655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Traditional Governance,0.04001363798388988,4001363.798388988,0.0,0.0,0.04001363798388988,4001363.798388988,3.9826369260722942,4.368401326717534,4.368401326717534,4.368401326717534,273.84203171759646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Traditional Governance,0.029358815017585582,2935881.501758558,0.0,0.0,0.029358815017585582,2935881.501758558,3.7625179282162042,3.8490567818414982,3.8490567818414982,3.8490567818414982,348.28038670235475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Traditional Governance,0.03449222038464657,3449222.038464657,0.0,0.0,0.03449222038464657,3449222.038464657,5.421736624595978,3.8665586454528724,3.8665586454528724,3.8665586454528724,312.5818743222232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Traditional Governance,0.02443978542322182,2443978.542322182,0.0,0.0,0.02443978542322182,2443978.542322182,3.853632310887766,3.650272519363604,3.650272519363604,3.650272519363604,306.9489975906637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Traditional Governance,0.02833248290909718,2833248.290909718,0.0,0.0,0.02833248290909718,2833248.290909718,5.26295158797561,4.173142201666485,4.173142201666485,4.173142201666485,291.217926651275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Traditional Governance,0.038057304699486996,3805730.4699486997,0.0,0.0,0.038057304699486996,3805730.4699486997,4.745828889030729,3.7987816091880386,3.7987816091880386,3.7987816091880386,324.29038145802116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Traditional Governance,0.03928286279636757,3928286.279636757,0.0,0.0,0.03928286279636757,3928286.279636757,4.620100272236179,3.6756376450194748,3.6756376450194748,3.6756376450194748,328.79405888556335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Traditional Governance,0.04617630801389475,4617630.801389475,0.0,0.0,0.04617630801389475,4617630.801389475,4.942183476192396,4.002717207359158,4.002717207359158,4.002717207359158,312.7095186403958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Traditional Governance,0.032108732847088844,3210873.2847088845,0.0,0.0,0.032108732847088844,3210873.2847088845,4.889592555485251,4.234785314751506,4.234785314751506,4.234785314751506,311.9138200378189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Traditional Governance,0.03291150137341475,3291150.137341475,0.0,0.0,0.03291150137341475,3291150.137341475,3.7052431157993757,3.787440384066298,3.787440384066298,3.787440384066298,299.6565520773167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Traditional Governance,0.03453616576247374,3453616.5762473736,0.0,0.0,0.03453616576247374,3453616.5762473736,5.950984663931591,4.203518584753665,4.203518584753665,4.203518584753665,269.72750178818404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Traditional Governance,0.029233748512274338,2923374.851227434,0.0,0.0,0.029233748512274338,2923374.851227434,5.488632978203794,3.9689786345399796,3.9689786345399796,3.9689786345399796,347.7966435202148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Traditional Governance,0.02764621981118528,2764621.9811185277,0.0,0.0,0.02764621981118528,2764621.9811185277,5.317844469991353,3.918908259617352,3.918908259617352,3.918908259617352,258.8191216195292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Traditional Governance,0.03463103608093666,3463103.608093666,0.0,0.0,0.03463103608093666,3463103.608093666,4.69627499170294,3.8783706296813687,3.8783706296813687,3.8783706296813687,299.7693379193291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Traditional Governance,0.03010491004773906,3010491.004773906,0.0,0.0,0.03010491004773906,3010491.004773906,4.534585721031562,3.6316753822131957,3.6316753822131957,3.6316753822131957,292.84473787338766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Traditional Governance,0.03781050852607582,3781050.852607582,0.0,0.0,0.03781050852607582,3781050.852607582,4.555442499402501,3.8525114723642884,3.8525114723642884,3.8525114723642884,316.54348783048533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Traditional Governance,0.03402563237406959,3402563.237406959,0.0,0.0,0.03402563237406959,3402563.237406959,3.259260967033308,4.4068612957278015,4.4068612957278015,4.4068612957278015,313.6530856748893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Traditional Governance,0.04132274169025878,4132274.1690258775,0.0,0.0,0.04132274169025878,4132274.1690258775,4.499204041734978,3.561626414030053,3.561626414030053,3.561626414030053,306.87516420149456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Traditional Governance,0.038386184774201554,3838618.4774201554,0.0,0.0,0.038386184774201554,3838618.4774201554,4.698832468307651,4.5689675765835185,4.5689675765835185,4.5689675765835185,269.3311332598962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Traditional Governance,0.03185601065375358,3185601.0653753583,0.0,0.0,0.03185601065375358,3185601.0653753583,4.7607171184460215,3.5709387485615474,3.5709387485615474,3.5709387485615474,284.41289349509697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Traditional Governance,0.04131189955328787,4131189.955328787,0.0,0.0,0.04131189955328787,4131189.955328787,4.222549627921463,3.880735265828922,3.880735265828922,3.880735265828922,271.6977452551416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Traditional Governance,0.0406268447614243,4062684.47614243,0.0,0.0,0.0406268447614243,4062684.47614243,4.456286570809802,4.090121068395953,4.090121068395953,4.090121068395953,339.7472837052692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Traditional Governance,0.033204744244534935,3320474.4244534937,0.0,0.0,0.033204744244534935,3320474.4244534937,4.720702431012075,4.344409171095851,4.344409171095851,4.344409171095851,275.27675768256705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Traditional Governance,0.031390682454032766,3139068.2454032768,0.0,0.0,0.031390682454032766,3139068.2454032768,4.388299245925863,3.6287027025045737,3.6287027025045737,3.6287027025045737,337.19233126549244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Traditional Governance,0.03804688228070764,3804688.2280707643,0.0,0.0,0.03804688228070764,3804688.2280707643,5.5872148203070555,3.624983348844155,3.624983348844155,3.624983348844155,273.7394368554815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Traditional Governance,0.02793023439906977,2793023.4399069767,0.0,0.0,0.02793023439906977,2793023.4399069767,4.848691828541985,4.110307314499428,4.110307314499428,4.110307314499428,323.75408070986174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Traditional Governance,0.029484655561157654,2948465.556115765,0.0,0.0,0.029484655561157654,2948465.556115765,3.0757090359799095,3.812140253110442,3.812140253110442,3.812140253110442,303.88222548614306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Traditional Governance,0.021820170702970598,2182017.0702970596,0.0,0.0,0.021820170702970598,2182017.0702970596,3.323662890474238,4.1254354620816684,4.1254354620816684,4.1254354620816684,320.99359196686595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Traditional Governance,0.04020796088018243,4020796.0880182427,0.0,0.0,0.04020796088018243,4020796.0880182427,4.819470845598333,4.320778234790822,4.320778234790822,4.320778234790822,307.2234853121686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Traditional Governance,0.03771923803123009,3771923.803123009,0.0,0.0,0.03771923803123009,3771923.803123009,4.362682258985844,3.5136785840060774,3.5136785840060774,3.5136785840060774,316.00273298521694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Traditional Governance,0.03848151140044193,3848151.1400441932,0.0,0.0,0.03848151140044193,3848151.1400441932,5.150070162575285,4.353852577660211,4.353852577660211,4.353852577660211,313.3129178363994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Traditional Governance,0.04006662514348148,4006662.514348148,0.0,0.0,0.04006662514348148,4006662.514348148,3.8823657646850194,3.419338223147916,3.419338223147916,3.419338223147916,286.06847493928905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Traditional Governance,0.03437052883481513,3437052.8834815132,0.0,0.0,0.03437052883481513,3437052.8834815132,3.2494416028558857,4.4401354660009975,4.4401354660009975,4.4401354660009975,331.97894183236036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Traditional Governance,0.03606922608678191,3606922.608678191,0.0,0.0,0.03606922608678191,3606922.608678191,4.321503150019592,4.623339934473126,4.623339934473126,4.623339934473126,307.78898865370894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Traditional Governance,0.027931497283454485,2793149.7283454486,0.0,0.0,0.027931497283454485,2793149.7283454486,4.910178211533427,4.14757579685438,4.14757579685438,4.14757579685438,281.78711362921314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Traditional Governance,0.027179034272880168,2717903.427288017,0.0,0.0,0.027179034272880168,2717903.427288017,5.643313583380385,4.658037999198879,4.658037999198879,4.658037999198879,289.1179006522167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Traditional Governance,0.03778449071080998,3778449.0710809976,0.0,0.0,0.03778449071080998,3778449.0710809976,5.276427237300732,4.3226631775408615,4.3226631775408615,4.3226631775408615,301.68080128900704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Traditional Governance,0.03455998944932343,3455998.944932343,0.0,0.0,0.03455998944932343,3455998.944932343,4.475918613514013,3.438301993636815,3.438301993636815,3.438301993636815,325.69225786854673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Traditional Governance,0.03601272892650375,3601272.892650375,0.0,0.0,0.03601272892650375,3601272.892650375,5.082218857452197,3.2698427417786387,3.2698427417786387,3.2698427417786387,318.1215684197014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Traditional Governance,0.039716493099978566,3971649.3099978566,0.0,0.0,0.039716493099978566,3971649.3099978566,3.5625718268845885,3.3631626993540498,3.3631626993540498,3.3631626993540498,288.861806874488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Traditional Governance,0.03717905011320401,3717905.0113204005,0.0,0.0,0.03717905011320401,3717905.0113204005,4.6126375975009175,3.9605530281951467,3.9605530281951467,3.9605530281951467,310.5339584119512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Traditional Governance,0.03582645881566989,3582645.8815669892,0.0,0.0,0.03582645881566989,3582645.8815669892,5.416341588397045,4.105687204662488,4.105687204662488,4.105687204662488,252.87822000164533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Traditional Governance,0.03591608088405206,3591608.088405206,0.0,0.0,0.03591608088405206,3591608.088405206,4.335564735873304,3.98503753608135,3.98503753608135,3.98503753608135,290.78241333534277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Traditional Governance,0.03169519320610718,3169519.3206107183,0.0,0.0,0.03169519320610718,3169519.3206107183,5.5762699367333255,4.157136730744896,4.157136730744896,4.157136730744896,321.6799738847952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Traditional Governance,0.02372397980063973,2372397.980063973,0.0,0.0,0.02372397980063973,2372397.980063973,3.996535466143064,3.9586114760959554,3.9586114760959554,3.9586114760959554,277.4955630880525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Traditional Governance,0.03401865989153611,3401865.989153611,0.0,0.0,0.03401865989153611,3401865.989153611,3.6894578615842093,3.4334130844260824,3.4334130844260824,3.4334130844260824,292.0354174370591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Traditional Governance,0.029826652673661982,2982665.2673661984,0.0,0.0,0.029826652673661982,2982665.2673661984,4.53761513696553,3.7380458922892235,3.7380458922892235,3.7380458922892235,252.28398453460142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Traditional Governance,0.03355868318370506,3355868.3183705057,0.0,0.0,0.03355868318370506,3355868.3183705057,5.353943442038942,4.702835309160318,4.702835309160318,4.702835309160318,260.754702740266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Traditional Governance,0.04187789331334996,4187789.3313349965,0.0,0.0,0.04187789331334996,4187789.3313349965,4.183535586432173,3.865361339615018,3.865361339615018,3.865361339615018,277.02026933643197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Traditional Governance,0.030260251879920073,3026025.1879920075,0.0,0.0,0.030260251879920073,3026025.1879920075,5.0516970090183655,3.844748124707047,3.844748124707047,3.844748124707047,272.5680144561451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Traditional Governance,0.025122131759343927,2512213.1759343925,0.0,0.0,0.025122131759343927,2512213.1759343925,3.872575324233538,3.6422372923494164,3.6422372923494164,3.6422372923494164,299.48380258892774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Traditional Governance,0.03125267752181224,3125267.752181224,0.0,0.0,0.03125267752181224,3125267.752181224,4.929984477684659,4.671718919213581,4.671718919213581,4.671718919213581,327.6398083741307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Traditional Governance,0.03149422424502879,3149422.424502879,0.0,0.0,0.03149422424502879,3149422.424502879,4.588129338871099,3.7431279146191314,3.7431279146191314,3.7431279146191314,270.5720327632977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Traditional Governance,0.03766559412160857,3766559.4121608566,0.0,0.0,0.03766559412160857,3766559.4121608566,3.8874550069015754,4.127644443828217,4.127644443828217,4.127644443828217,324.4889111871271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Traditional Governance,0.03588137643229962,3588137.643229962,0.0,0.0,0.03588137643229962,3588137.643229962,4.873675278824636,3.431992987900087,3.431992987900087,3.431992987900087,309.2665885496621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Traditional Governance,0.040138671189838875,4013867.1189838876,0.0,0.0,0.040138671189838875,4013867.1189838876,4.865056173440255,3.491692616432255,3.491692616432255,3.491692616432255,279.0598413130868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Traditional Governance,0.03770939762043066,3770939.762043066,0.0,0.0,0.03770939762043066,3770939.762043066,4.523334340869769,4.1978722499083965,4.1978722499083965,4.1978722499083965,288.0615615945735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Traditional Governance,0.03352309460323456,3352309.460323456,0.0,0.0,0.03352309460323456,3352309.460323456,4.007275716669491,4.116637174294509,4.116637174294509,4.116637174294509,281.15954769856967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Traditional Governance,0.04085173093419939,4085173.093419939,0.0,0.0,0.04085173093419939,4085173.093419939,3.7715714581958593,4.160162416229274,4.160162416229274,4.160162416229274,317.542216400037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Traditional Governance,0.028668207078656277,2866820.7078656275,0.0,0.0,0.028668207078656277,2866820.7078656275,5.56142015330051,3.743729823669098,3.743729823669098,3.743729823669098,312.92577420038367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Traditional Governance,0.0231969411802905,2319694.11802905,0.0,0.0,0.0231969411802905,2319694.11802905,4.755474557176993,4.660924112904027,4.660924112904027,4.660924112904027,289.01341732837994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Traditional Governance,0.026365652939725728,2636565.293972573,0.0,0.0,0.026365652939725728,2636565.293972573,5.073494023807848,4.048149088956165,4.048149088956165,4.048149088956165,266.4824648633869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Traditional Governance,0.038822420108467245,3882242.0108467247,0.0,0.0,0.038822420108467245,3882242.0108467247,4.832253186999035,4.602570672148035,4.602570672148035,4.602570672148035,279.0465798307191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Traditional Governance,0.03441682189711465,3441682.1897114646,0.0,0.0,0.03441682189711465,3441682.1897114646,5.1240042770454295,3.658408450847589,3.658408450847589,3.658408450847589,306.98118791308764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Traditional Governance,0.028518937760373696,2851893.7760373694,0.0,0.0,0.028518937760373696,2851893.7760373694,3.855107413644716,3.9200884477596056,3.9200884477596056,3.9200884477596056,271.25709368796726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Traditional Governance,0.03501567982177749,3501567.982177749,0.0,0.0,0.03501567982177749,3501567.982177749,4.49541833961661,3.855497875134032,3.855497875134032,3.855497875134032,301.8577888357011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Traditional Governance,0.028278915763608532,2827891.5763608534,0.0,0.0,0.028278915763608532,2827891.5763608534,4.776097008444019,4.240085637068939,4.240085637068939,4.240085637068939,306.0073308479437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Traditional Governance,0.03831001149636926,3831001.149636926,0.0,0.0,0.03831001149636926,3831001.149636926,3.682095704082998,4.23157360917575,4.23157360917575,4.23157360917575,310.48757211128884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
